release_date,brand_name,model,gender,len_colorway,main_color,upper_material,technology,len_size,unique,price,days_since_release,log_price
1985-09-14,Air Jordan,Air Jordan 1 High 'Chicago' 1985,men,3,Red,Leather,Air,39,0,50990.0,14476,10.839384814049202
1985-09-14,Air Jordan,Air Jordan 1 High 'Bred' 1985,men,2,Black,Leather,Air,39,0,31398.0,14476,10.354499475600262
1985-09-14,Air Jordan,Air Jordan 1 High 'Royal' 1985,men,3,Black,Leather,Air,39,0,2642.0,14476,7.879291485082271
1985-09-14,Air Jordan,Air Jordan 1 High 'Natural Grey' 1985,men,3,White,Leather,Air,39,0,2632.0,14476,7.875499292445208
1985-01-01,Air Jordan,Air Jordan 1 High OG 'Black Toe' 1985,men,4,Black,Leather,Air,39,0,9705.0,14732,9.18039649560311
1985-01-01,Nike,Dunk High 'Villanova' 1985,men,3,Blue,Leather,Basic,39,0,1327.0,14732,7.190676034332207
1985-01-01,Nike,Dunk High 'UNLV' 1985,men,3,Red,Leather,Basic,39,0,1658.0,14732,7.4133673356952405
1986-01-01,Nike,Team Convention High 'White Red',men,2,Red,Leather,Basic,39,0,2268.0,14367,7.7266536648476425
1986-01-01,Nike,Team Convention High 'White Team Orange',men,3,Orange,Leather,Basic,39,0,1378.0,14367,7.228388451573604
1986-01-01,Nike,Road Runner 1986,men,0,Blue,Unknown,Basic,39,0,1331.0,14367,7.193685818395112
1987-12-02,Nike,Canyon 1987 'Dark Royal Blue',men,6,Blue,Synthetic,Basic,39,0,7059.0,13667,8.862058677395472
1989-05-07,Nike,Devlin AC Skyliner 'Grey Army Green',men,5,Grey,Nylon,Basic,39,0,6526.0,13145,8.783549477153265
1992-04-01,Air Jordan,Air Jordan 7 OG 'Raptor',men,4,Black,Nubuck,Air,39,0,2246.0,12085,7.716906135298388
1992-02-01,Air Jordan,Air Jordan 7 OG 'Bordeaux',men,3,Black,Nubuck,Air,39,0,2284.0,12145,7.7336835707759
1992-05-01,Air Jordan,Air Jordan 7 OG 'Hare',men,4,White,Leather,Air,39,0,939.0,12055,6.844815479208263
1992-01-01,Air Jordan,Air Jordan 7 OG 'Olympic' 1992,men,4,White,Leather,Air,39,0,1150.0,12176,7.047517221357296
1992-11-01,Air Jordan,Air Jordan 7 OG 'Cardinal' 1992,men,3,White,Leather,Air,39,0,837.0,11871,6.729824070489475
1993-01-01,Air Jordan,Air Jordan 9 OG,men,2,White,Unknown,Air,39,0,253.0,11810,5.53338948872752
1993-01-01,Air Jordan,Air Jordan 8 OG 'Aqua' 1993,men,4,Black,Durabuck,Air,39,0,314.0,11810,5.749392985908253
1993-02-01,Air Jordan,Air Jordan 8 OG 'Bugs Bunny',men,3,White,Leather,Air,39,0,2377.0,11779,7.773594467360194
1993-04-01,Air Jordan,Air Jordan 8 OG 'Playoff',men,2,Black,Durabuck,Air,39,1,2696.0,11720,7.899524472032198
1994-01-01,Air Jordan,Air Jordan 1 Retro High 'Chicago' 1994,men,2,Red,Leather,Air,39,0,3159.0,11445,8.058010800802085
1994-01-01,Air Jordan,Air Jordan 3 Retro 1994,men,3,White,Unknown,Air,39,0,6558.0,11445,8.788440957404594
1994-01-01,Air Jordan,Air Jordan 1 Retro 'Bred' 1994,men,2,Red,Leather,Air,39,0,2801.0,11445,7.937731775260109
